CustomerID,Probability of Churning
4910-GMJOT,0.796
6521-YYTYI,0.796
1455-ESIQH,0.796
0295-PPHDO,0.796
3027-ZTDHO,0.796
7577-SWIFR,0.796
9725-SCPZG,0.796
7274-RTAPZ,0.796
9300-AGZNL,0.795
9497-QCMMS,0.795
1415-YFWLT,0.795
8149-RSOUN,0.791
3722-WPXTK,0.791
0970-ETWGE,0.791
3988-RQIXO,0.79
2725-KXXWT,0.783
5178-LMXOP,0.782
6567-HOOPW,0.777
5494-HECPR,0.777
8058-INTPH,0.777
7439-DKZTW,0.777
5419-JPRRN,0.777
8740-CRYFY,0.777
0107-YHINA,0.777
4912-PIGUY,0.777
1761-AEZZR,0.777
5960-WPXQM,0.777
9282-IZGQK,0.773
2868-MZAGQ,0.773
0495-RVCBF,0.773
8603-IJWDN,0.773
2004-OCQXK,0.773
6457-USBER,0.773
2514-GINMM,0.772
9300-RENDD,0.772
1069-XAIEM,0.772
5192-EBGOV,0.771
8580-AECUZ,0.769
7594-RQHXR,0.767
4614-NUVZD,0.767
0318-QUUOB,0.764
7216-EWTRS,0.763
4826-XTSOH,0.763
7503-ZGUZJ,0.759
5597-GLBUC,0.759
3068-OMWZA,0.758
5834-ASPWA,0.754
1452-VOQCH,0.754
1833-VGRUM,0.754
5240-IJOQT,0.754
4102-OQUPX,0.754
6358-LYNGM,0.754
0723-DRCLG,0.754
7180-PISOG,0.754
2609-IAICY,0.754
8372-JUXUI,0.754
1157-BQCUW,0.754
9248-OJYKK,0.754
4415-IJZTP,0.754
9787-XVQIU,0.754
2202-CUYXZ,0.753
6230-BSUXY,0.753
8816-VXNZD,0.749
3551-HUAZH,0.748
4988-IQIGL,0.748
5797-APWZC,0.748
5875-YPQFJ,0.747
1031-IIDEO,0.747
3878-AVSOQ,0.747
1640-PLFMP,0.747
9488-HGMJH,0.747
2446-PLQVO,0.747
8644-XLFBW,0.747
6513-EECDB,0.747
5542-TBBWB,0.747
8000-REIQB,0.747
3494-JCHRQ,0.747
9605-WGJVW,0.747
4702-IOQDC,0.747
1853-UDXBW,0.747
9603-OAIHC,0.747
7409-KIUTL,0.747
0021-IKXGC,0.747
8051-HJRLT,0.747
9804-ICWBG,0.747
1363-TXLSL,0.747
6894-LFHLY,0.746
8821-XNHVZ,0.746
8473-VUVJN,0.746
9124-LHCJQ,0.745
5275-SQEIZ,0.745
1628-BIZYP,0.743
7294-TMAOP,0.743
4844-JJWUY,0.742
3422-LYEPQ,0.742
7465-ZZRVX,0.742
0328-GRPMV,0.742
6653-CBBOM,0.742
1846-XWOQN,0.742
7206-GZCDC,0.74
3428-XZMAZ,0.74
4871-JTKJF,0.74
4603-JANFB,0.74
6502-MJQAE,0.74
2636-ALXXZ,0.74
1820-TQVEV,0.74
5134-IKDAY,0.74
0488-GSLFR,0.74
8375-DKEBR,0.74
7665-TOALD,0.74
5550-VFRLC,0.74
2506-TNFCO,0.74
7254-IQWOZ,0.74
4550-EVXNY,0.74
4510-HIMLV,0.74
9019-QVLZD,0.739
7120-RFMVS,0.739
9885-CSMWE,0.738
3276-HDUEG,0.736
8062-YBDOE,0.735
6457-GIRWB,0.735
5539-TMZLF,0.735
2982-IHMFT,0.735
0679-IDSTG,0.735
2777-PHDEI,0.733
8775-LHDJH,0.733
3158-MOERK,0.731
3707-GNWHM,0.731
2034-GDRCN,0.731
7851-WZEKY,0.731
7024-OHCCK,0.73
2720-WGKHP,0.73
6996-KNSML,0.73
5032-MIYKT,0.729
6140-QNRQQ,0.729
9617-INGJY,0.729
3066-RRJIO,0.729
9985-MWVIX,0.729
1062-LHZOD,0.729
0968-GSIKN,0.729
2619-WFQWU,0.729
8042-JVNFH,0.729
8309-IEYJD,0.729
0515-YPMCW,0.729
5376-DEQCP,0.728
8380-PEFPE,0.728
3244-DCJWY,0.728
6618-RYATB,0.727
2024-BASKD,0.727
7660-HDPJV,0.725
2867-UIMSS,0.725
8945-GRKHX,0.725
1448-PWKYE,0.725
1447-GIQMR,0.725
6372-RFVNS,0.725
5393-RXQSZ,0.725
9728-FTTVZ,0.725
3716-BDVDB,0.725
4424-TKOPW,0.725
5054-IEXZT,0.724
